id_campanha,numero_boletim,data_emissao,costa_ponto,local_da_coleta,categoria,ponto_codigo,tipo_campanha
6281,9/2013,2013-02-25,SSA,"Ao lado do forte Monte Serrat, em frente ao muro lateral da Fundação Luís Eduardo Magalhães, junto à rampa de acesso à praia.",Própria,Boa Viagem - SSA BV 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Atrás das antigas instalações da FIB, Rua Agrário Menezes. Junto à rede coletora de esgotos do Bahia Azul.",Própria,Canta Galo - SSA CG 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Atrás do Hospital Sagrada Familia, em frente à ladeira que dá acesso à praia.",Imprópria,Pedra Furada - SSA FU 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Av. Sete de Setembro, em frente à Rua César Zama, junto à escada de acesso a praia.",Imprópria,Porto da Barra - SSA PB 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente à barraca do Valença.,Imprópria,Penha - SSA PE 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente à casa Vila Maria, ao lado da rampa de acesso à praia.",Própria,São Tomé de Paripe - SSA IN 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente à escada de acesso à praia, em frente à Portinox e a Rua Paraíba.",Imprópria,Pituba - SSA PI 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao Colégio da PM (antigo Colégio João Florêncio Gomes).,Imprópria,Bogari - SSA BO 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao Hotel Alah Mar e a Rua João Mendes da Costa.,Imprópria,Armação - SSA AR 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao Hotel Grande Stella Maris.,Própria,Stella Mares - SSA ST 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente ao Mar Azul hotel, limítrofe ao Hospital Espanhol, em frente à escada de acesso à praia.",Própria,Santa Maria - SSA SM 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao posto Salva Vidas.,Imprópria,Corsário - SSA CO 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao posto Salva Vidas.,Própria,Placafor - SSA PF 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao posto Salva Vidas.,Imprópria,Boca do Rio - SSA BR 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente ao posto Salva Vidas Patamares. Próximo ao Coliseu do Forró e Caranguejo de Sergipe.,Imprópria,Patamares - SSA CO 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente ao posto Salva Vidas, próximo ao Clube Costa Verde.",Própria,Piatã - SSA PA 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente à Rua Bartolomeu de Gusmão. próximo à escada de acesso à praia, ao lado da Rua Morro da Paciência.",Própria,Rio Vermelho - SSA RV 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente à Rua da Música (Rua K).,Própria,Farol de Itapuã - SSA FI 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente à rua do Balneário, ao Edifício Atlântico e à Praça do Budião.",Própria,Amaralina - SSA AM 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,Em frente à Sereia de Itapuã.,Própria,Itapuã - SSA IT 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Em frente às escadas de acesso à praia, na Rua Dias d'Ávila.",Própria,Farol da Barra - SSA FB 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Na saída de acesso à praia, após travessia da via férrea.",Imprópria,Periperi - SSA PR 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"No fundo da Escola Cupertino de Lacerda, em frente ao painel do artista plástico Bel Borba.",Própria,Amaralina - SSA AM 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo à escada de acesso à praia, em frente à igreja Nossa Senhora de Santana.",Imprópria,Rio Vermelho - SSA RV 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo à escada de acesso à praia, em frente à Rua Ademar de Barros, ao posto BR e o Hotel Bahia Sol.",Própria,Ondina - SSA ON 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo à escada de acesso à praia, em frente à Rua Sargento Waldir Xavier.",Própria,Itapuã - SSA IT 100,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo ao Barra Vento e escada de acesso à praia, em frente à Av. Oceânica.",Própria,Farol da Barra - SSA FB 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo ao Morro da Sereia, em frente ao Ed. Maria José.",Própria,Ondina - SSA ON 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Próximo à rampa de acesso à praia, em frente ao Ed. Atlântico Empresarial e à Rua Paraná. Atrás da praça (antigo clube Português).",Própria,Pituba - SSA PI 200,CAMPANHA
6281,9/2013,2013-02-25,SSA,"Rua Prof. Roberto Correia, junto à descida de acesso à praia, fundo do Hospital São Jorge.",Imprópria,Roma - SSA RO 100,CAMPANHA
